c = 720537.833271 
error norm = 0.001678 
error norm = 0.001667 
error norm = 0.001657 
error norm = 0.001647 
error norm = 0.001637 
error norm = 0.001627 
error norm = 0.001617 
error norm = 0.001608 
error norm = 0.001598 
error norm = 0.001588 
init time = 2.131592, solver time = 0.147158
